Time (UTC);Open;High;Low;Close
13.04.2022 21:00;1,08901;1,08924;1,08763;1,08888
13.04.2022 22:00;1,08886;1,08927;1,08867;1,08894
13.04.2022 23:00;1,08896;1,08973;1,08893;1,0895
14.04.2022 00:00;1,08951;1,08998;1,08826;1,08847
14.04.2022 01:00;1,08847;1,09088;1,08827;1,09061
14.04.2022 02:00;1,0906;1,09081;1,09017;1,09019
14.04.2022 03:00;1,09019;1,09093;1,09019;1,0907
14.04.2022 04:00;1,0907;1,09128;1,09034;1,09121
14.04.2022 05:00;1,09122;1,0918;1,09093;1,091
14.04.2022 06:00;1,09102;1,09233;1,09099;1,09181
14.04.2022 07:00;1,09183;1,09195;1,09034;1,09082
14.04.2022 08:00;1,09081;1,09123;1,0903;1,0908
14.04.2022 09:00;1,09078;1,09176;1,09016;1,09136
14.04.2022 10:00;1,09138;1,09171;1,09013;1,09057
14.04.2022 11:00;1,09053;1,09169;1,08632;1,08652
14.04.2022 12:00;1,08654;1,08904;1,08436;1,08474
14.04.2022 13:00;1,08474;1,08487;1,07575;1,07707
14.04.2022 14:00;1,07707;1,07982;1,07687;1,07776
14.04.2022 15:00;1,07776;1,08175;1,07735;1,0797
14.04.2022 16:00;1,07971;1,08315;1,07946;1,0816
14.04.2022 17:00;1,0816;1,08268;1,08088;1,0824
14.04.2022 18:00;1,08241;1,08312;1,08207;1,08301
14.04.2022 19:00;1,083;1,08347;1,08236;1,08243
14.04.2022 20:00;1,08244;1,08342;1,08242;1,08281
14.04.2022 21:00;1,08282;1,08299;1,08248;1,08281
14.04.2022 22:00;1,08285;1,08289;1,08219;1,08231
14.04.2022 23:00;1,08232;1,08258;1,08137;1,08209
15.04.2022 00:00;1,08211;1,08216;1,07975;1,08087
15.04.2022 01:00;1,08087;1,08151;1,08056;1,08123
15.04.2022 02:00;1,08123;1,08139;1,07964;1,07972
15.04.2022 03:00;1,07973;1,08071;1,07968;1,08043
15.04.2022 04:00;1,0804;1,08063;1,08018;1,08052
15.04.2022 05:00;1,08053;1,08074;1,08042;1,08055
15.04.2022 06:00;1,08054;1,08076;1,08019;1,08025
15.04.2022 07:00;1,08024;1,08121;1,08021;1,08114
15.04.2022 08:00;1,08114;1,08236;1,08092;1,08184
15.04.2022 09:00;1,08184;1,08194;1,08122;1,08134
15.04.2022 10:00;1,08135;1,08171;1,08068;1,08084
15.04.2022 11:00;1,08084;1,08152;1,08044;1,0815
