Time (UTC);Open;High;Low;Close;Volume 
2022.05.16 21:00:00;1,04313;1,05556;1,04284;1,05466;253819,76
2022.05.17 21:00:00;1,05461;1,05636;1,04597;1,04617;133973,78
2022.05.18 21:00:00;1,04617;1,0607;1,04606;1,05837;273225,08
2022.05.19 21:00:00;1,05809;1,0599;1,05328;1,0561;189770,44
2022.05.22 21:00:00;1,05601;1,06973;1,05552;1,0689;229780,49
2022.05.23 21:00:00;1,06882;1,07485;1,06608;1,07329;160652,31
2022.05.24 21:00:00;1,07334;1,07388;1,06421;1,06763;173450,9
2022.05.25 21:00:00;1,06743;1,07315;1,06624;1,0724;157672,7855
2022.05.26 21:00:00;1,0724;1,0765;1,06968;1,07317;141805,21
2022.05.29 21:00:00;1,07347;1,07867;1,07261;1,07764;133725,05
2022.05.30 21:00:00;1,0776;1,0779;1,06789;1,0732;242581,55
2022.05.31 21:00:00;1,0732;1,07393;1,06271;1,06466;177552,12
2022.06.01 21:00:00;1,06467;1,075;1,06444;1,07451;128093,58
2022.06.02 21:00:00;1,07447;1,07643;1,0704;1,07169;108569,12
2022.06.05 21:00:00;1,07167;1,07518;1,06838;1,06955;117926,36
2022.06.06 21:00:00;1,06954;1,07142;1,06519;1,07043;174315,91
2022.06.07 21:00:00;1,07043;1,07484;1,06713;1,07157;146848,79
2022.06.08 21:00:00;1,07158;1,07738;1,0611;1,06146;244884,09
2022.06.09 21:00:00;1,06146;1,06422;1,05057;1,05137;193883,78
2022.06.12 21:00:00;1,0513;1,05201;1,03997;1,04058;286688,9856
2022.06.13 21:00:00;1,04068;1,04846;1,0397;1,04144;251425,36
2022.06.14 21:00:00;1,04144;1,05077;1,0359;1,04416;391258,89
2022.06.15 21:00:00;1,04416;1,06014;1,03808;1,05463;331755,4
2022.06.16 21:00:00;1,05455;1,05605;1,04444;1,04934;284803,04
2022.06.19 21:00:00;1,04731;1,05458;1,04729;1,05084;161557,682
2022.06.20 21:00:00;1,05085;1,05824;1,05065;1,053;173370,06
2022.06.21 21:00:00;1,053;1,06057;1,04687;1,05645;238807,64
2022.06.22 21:00:00;1,05645;1,0581;1,04826;1,05208;296727,352
2022.06.23 21:00:00;1,05208;1,05712;1,0512;1,05519;155980,35
2022.06.26 21:00:00;1,05479;1,0615;1,05457;1,0582;205448,33
2022.06.27 21:00:00;1,05821;1,06061;1,05032;1,05174;270205,3
2022.06.28 21:00:00;1,05174;1,05354;1,04352;1,04398;294463,9
2022.06.29 21:00:00;1,04398;1,04887;1,03824;1,04831;276715,45
2022.06.30 21:00:00;1,04829;1,04853;1,03658;1,04262;172655,975
2022.07.03 21:00:00;1,04174;1,04627;1,04142;1,04201;158564,55
2022.07.04 21:00:00;1,04201;1,04485;1,0235;1,02645;291751,25
2022.07.05 21:00:00;1,02645;1,02765;1,01614;1,01797;267658,2
2022.07.06 21:00:00;1,01801;1,02209;1,01439;1,01568;118630,424
2022.07.07 21:00:00;1,01604;1,01912;1,0072;1,01822;225527,21
2022.07.10 21:00:00;1,01697;1,01834;1,00336;1,00379;297096,123
2022.07.11 21:00:00;1,00378;1,00738;0,99999;1,00347;341943,71
2022.07.12 21:00:00;1,0035;1,01222;0,99979;1,00555;389352,68
2022.07.13 21:00:00;1,00555;1,00597;0,99521;1,00165;483497,558
2022.07.14 21:00:00;1,00158;1,00979;1,00068;1,00821;266141,45
2022.07.17 21:00:00;1,00811;1,02011;1,00785;1,01413;227303,35
2022.07.18 21:00:00;1,01412;1,0269;1,01195;1,02251;285239,7599
2022.07.19 21:00:00;1,02251;1,02729;1,01553;1,01771;218648,4
2022.07.20 21:00:00;1,01767;1,02781;1,01531;1,02285;297733,57
2022.07.21 21:00:00;1,02286;1,02553;1,01297;1,02119;327772,284
